city,lat,lon,temp,cloud,Wind speed,Humidity
Puerto Ayora,-0.7393,-90.3518,25,50,2.78,94
Esperance,-33.8667,121.9,17,90,6.69,94
Bluff,-46.6,168.3333,16,1,5.71,79
Gazli,40.1333,63.45,10.17,100,2.77,59
Acapulco de Juárez,16.8634,-99.8901,23.79,0,1.53,77
Ushuaia,-54.8,-68.3,8,75,7.72,81
Saskylakh,71.9167,114.0833,-40.65,21,3.72,78
São Filipe,14.8961,-24.4956,20.39,21,6.3,74
Kaitangata,-46.2817,169.8464,18.89,3,3.58,76
Isangel,-19.55,169.2667,27.3,26,2.4,72
Chapleau,47.8405,-83.4034,-17.37,98,2.25,93
Bredasdorp,-34.5322,20.0403,19,96,3.95,88
Esil,51.9556,66.4042,-13.29,100,10.81,92
Bonavista,48.6499,-53.1147,1.92,77,4.12,93
Perelyub,51.8667,50.3667,-17.77,91,5.33,91
Laas,46.6166,10.7002,1.86,90,3.6,93
Agadez,19.75,10.25,13.55,8,2.25,34
Avarua,-21.2078,-159.775,28,42,5.14,74
Hermanus,-34.4187,19.2345,18.33,97,4.42,94
Røros,62.5747,11.3842,-25,75,1.03,77
Drumheller,51.4617,-112.7101,-24.53,100,2.06,70
Kapaa,22.0752,-159.319,20.54,75,2.06,53
Horsham,51.064,-0.3272,2.27,75,6.69,93
Te Anau,-45.4167,167.7167,23.25,0,3.36,38
Tsovazard,40.4709,45.0588,-3,0,0.51,86
Rikitea,-23.1203,-134.9692,25.37,99,5.96,76
Albany,42.6001,-73.9662,-8.56,31,0.57,55
Tasiilaq,65.6145,-37.6368,0,20,9.26,59
Bichena,10.45,38.2,12.63,100,0.58,39
Cidreira,-30.1811,-50.2056,19.08,54,3.76,79
Menongue,-14.6585,17.691,17.8,100,1.96,94
Sitka,57.0531,-135.33,-1,75,2.05,59
Sikonge,-5.6333,32.7667,20,40,1.27,100
Comodoro Rivadavia,-45.8667,-67.5,13,0,2.57,76
Açucena,-19.0731,-42.5464,20.52,100,1.19,94
Hobart,-42.8794,147.3294,19.32,20,10.8,48
Soyo,-6.1349,12.3689,26.56,98,3.71,86
Busselton,-33.65,115.3333,15.9,100,0.89,95
Sosnovo-Ozerskoye,52.5249,111.5418,-16.85,100,2.37,91
Castro,-24.7911,-50.0119,15.7,73,3.96,86
Gagra,43.3283,40.2239,6.84,90,6,87
Lebu,-37.6167,-73.65,14.55,77,1.63,93
Houma,29.5958,-90.7195,11.91,90,1.54,94
Pundaguitan,6.3711,126.1689,27.81,100,3.42,76
Chipinge,-20.1883,32.6236,19.66,36,0.43,96
Cherskiy,68.75,161.3,-20.7,0,1.34,81
Adwa,14.1646,38.8955,12.89,0,1.24,54
Petropavlovsk-Kamchatskiy,53.0452,158.6483,-4,90,1,93
Mataura,-46.1927,168.8643,24.37,24,1.95,53
Port Elizabeth,-33.918,25.5701,20,0,5.14,77
Ancud,-41.8697,-73.8203,13.41,0,1.03,58
Imbituba,-28.24,-48.6703,20,0,1.54,88
Cilegon,-6.0174,106.0538,30,40,7.72,70
Jamestown,42.097,-79.2353,-11.21,1,2.57,62
Gallup,35.5281,-108.7426,1.07,1,2.06,40
Cape Town,-33.9258,18.4232,19.97,75,7.2,73
Yellowknife,62.456,-114.3525,-42.73,1,1.03,66
Dingle,10.9995,122.6711,28.5,54,6.34,78
Kahului,20.8947,-156.47,19.96,20,3.6,56
Gizo Government Station,-8.103,156.8419,29.06,99,1.74,71
Pevek,69.7008,170.3133,-23.11,0,1.35,87
Kilindoni,-7.9139,39.6668,27.95,98,4.43,76
Punta Arenas,-53.15,-70.9167,7.88,0,5.14,81
Shubarkuduk,49.1447,56.4872,-10.48,98,4.33,95
Goundam,16.4145,-3.6708,20.82,99,6.81,29
Port-Gentil,-0.7193,8.7815,27.14,98,4.76,82
Donduşeni,48.2427,27.6101,-5.32,100,4.26,97
San Patricio,28.017,-97.5169,13.9,1,1.54,82
New Norfolk,-42.7826,147.0587,18.25,33,2.24,41
Sorong,-0.8833,131.25,29.04,97,3.21,69
Saint George,37.1041,-113.5841,7.94,1,1.54,31
Altay,47.8667,88.1167,-1.95,35,0.91,90
Ribeira Grande,38.5167,-28.7,16.15,98,9.13,91
Faanui,-16.4833,-151.75,28.04,1,4.75,68
Bhachāu,23.2833,70.35,23.77,0,6.2,24
Katsuura,35.1333,140.3,15.76,0,5.66,31
North Shore,-36.8,174.75,22.57,89,2.24,64
El Salvador,13.8333,-88.9167,22,0,1.54,83
Airai,-8.9266,125.4092,22.51,62,2.03,84
Rome,43.2128,-75.4557,-13.12,1,1.58,72
East London,-33.0153,27.9116,19,0,3.6,88
Sayyan,15.1718,44.3244,9.77,0,2.65,67
Tezu,27.9167,96.1667,25.2,5,1.99,18
Ust-Nera,64.5667,143.2,-29.17,25,1.94,77
Lewistown,40.5992,-77.5714,-4.71,1,0.92,68
Qasigiannguit,68.8193,-51.1922,-2,0,10.8,40
Atuona,-9.8,-139.0333,26.43,90,10.71,79
Arman',59.7,150.1667,-8.51,100,7.89,85
